Canal;Negócio;Código Agente Líder;Líder;Marca;Meta 2026;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
Outside Sales;Canal Representante;254;Alessandra;Philozon; R$ 4.968.000 ; R$ 298.080 ; R$ 322.920 ; R$ 347.760 ; R$ 397.440 ; R$ 422.280 ; R$ 447.120 ; R$ 298.080 ; R$ 496.800 ; R$ 496.800 ; R$ 546.480 ; R$ 645.840 ; R$ 248.400 
Outside Sales;Canal Representante;254;Alessandra;Ozoncare; R$ 1.012.000 ; R$ 60.720 ; R$ 65.780 ; R$ 70.840 ; R$ 80.960 ; R$ 86.020 ; R$ 91.080 ; R$ 60.720 ; R$ 101.200 ; R$ 101.200 ; R$ 111.320 ; R$ 131.560 ; R$ 50.600 
Outside Sales;Canal Distribuição;254;Alessandra;Philozon; R$ 1.035.000 ; R$ 62.100 ; R$ 67.275 ; R$ 72.450 ; R$ 82.800 ; R$ 87.975 ; R$ 93.150 ; R$ 62.100 ; R$ 103.500 ; R$ 103.500 ; R$ 113.850 ; R$ 134.550 ; R$ 51.750 
Outside Sales;Canal Distribuição;254;Alessandra;Ozoncare; R$ 2.783.000 ; R$ 166.980 ; R$ 180.895 ; R$ 194.810 ; R$ 222.640 ; R$ 236.555 ; R$ 250.470 ; R$ 166.980 ; R$ 278.300 ; R$ 278.300 ; R$ 306.130 ; R$ 361.790 ; R$ 139.150 
Outside Sales;Canal Exportação;254;Alessandra;Philozon; R$ 372.600 ; R$ 22.356 ; R$ 24.219 ; R$ 26.082 ; R$ 29.808 ; R$ 31.671 ; R$ 33.534 ; R$ 22.356 ; R$ 37.260 ; R$ 37.260 ; R$ 40.986 ; R$ 48.438 ; R$ 18.630 
Outside Sales;Canal Exportação;254;Alessandra;Ozoncare; R$ 632.500 ; R$ 37.950 ; R$ 41.113 ; R$ 44.275 ; R$ 50.600 ; R$ 53.763 ; R$ 56.925 ; R$ 37.950 ; R$ 63.250 ; R$ 63.250 ; R$ 69.575 ; R$ 82.225 ; R$ 31.625 
VD;Canal Venda Direta ;122;Flávia;Ozoncare; R$ 8.855.000 ; R$ 531.300 ; R$ 575.575 ; R$ 619.850 ; R$ 708.400 ; R$ 752.675 ; R$ 796.950 ; R$ 531.300 ; R$ 885.500 ; R$ 885.500 ; R$ 974.050 ; R$ 1.151.150 ; R$ 442.750 
Revenda Digital;Revenda Digital;122;Flávia;Ozoncare; R$ 3.036.000 ; R$ 182.160 ; R$ 197.340 ; R$ 212.520 ; R$ 242.880 ; R$ 258.060 ; R$ 273.240 ; R$ 182.160 ; R$ 303.600 ; R$ 303.600 ; R$ 333.960 ; R$ 394.680 ; R$ 151.800 
E-commerce;Canal E-commerce;250;Henrique;Philozon; R$ 517.500 ; R$ 31.050 ; R$ 33.638 ; R$ 36.225 ; R$ 41.400 ; R$ 43.988 ; R$ 46.575 ; R$ 31.050 ; R$ 51.750 ; R$ 51.750 ; R$ 56.925 ; R$ 67.275 ; R$ 25.875 
E-commerce;Canal E-commerce;250;Henrique;Ozoncare; R$ 7.590.000 ; R$ 455.400 ; R$ 493.350 ; R$ 531.300 ; R$ 607.200 ; R$ 645.150 ; R$ 683.100 ; R$ 455.400 ; R$ 759.000 ; R$ 759.000 ; R$ 834.900 ; R$ 986.700 ; R$ 379.500 
Prescritor;Canal Prescritor;250;Henrique;Ozoncare; R$ 759.000 ; R$ 45.540 ; R$ 49.335 ; R$ 53.130 ; R$ 60.720 ; R$ 64.515 ; R$ 68.310 ; R$ 45.540 ; R$ 75.900 ; R$ 75.900 ; R$ 83.490 ; R$ 98.670 ; R$ 37.950 
Inside Sales BC;Canal Inside BC;253;Eduardo;Philozon; R$ 8.280.000 ; R$ 496.800 ; R$ 538.200 ; R$ 579.600 ; R$ 662.400 ; R$ 703.800 ; R$ 745.200 ; R$ 496.800 ; R$ 828.000 ; R$ 828.000 ; R$ 910.800 ; R$ 1.076.400 ; R$ 414.000 
Inside Sales SP;Canal Inside SP;253;Eduardo;Philozon; R$ 5.526.900 ; R$ 331.614 ; R$ 359.249 ; R$ 386.883 ; R$ 442.152 ; R$ 469.787 ; R$ 497.421 ; R$ 331.614 ; R$ 552.690 ; R$ 552.690 ; R$ 607.959 ; R$ 718.497 ; R$ 276.345 
Inside Sales SP;Canal Inside SP;253;Eduardo;Ozoncare; R$ 632.500 ; R$ 37.950 ; R$ 41.113 ; R$ 44.275 ; R$ 50.600 ; R$ 53.763 ; R$ 56.925 ; R$ 37.950 ; R$ 63.250 ; R$ 63.250 ; R$ 69.575 ; R$ 82.225 ; R$ 31.625 
